witness,year,idx,id,raw_id,is_kalend,n_words,SCOT,SCOT_AMBIG,INSULAR,MIDLAND,MUNSTER,TERRITORY,IONA,sha1
AI,665,1,AI665.1,AI665.1,0,17,0,0,0,0,1,0,0,6f198c52009a
AI,666,1,AI666.1,AI666.1,0,7,0,0,0,0,0,0,0,b506562f2226
AI,666,2,AI666.2,AI666.2,0,9,0,0,0,0,1,0,0,7b4b9c879301
AI,666,3,AI666.3,AI666.3,0,23,0,0,0,0,0,0,0,9d13a0acac47
AI,666,4,AI666.4,AI666.4,0,7,0,0,0,0,0,0,0,f127562a0c1b
AI,666,5,AI666.5,AI666.5,0,24,0,0,0,0,0,0,0,2593c7ab9a4b
AI,667,1,AI667.1,AI667.1,0,19,0,0,0,0,1,0,0,3e8cb039757d
AI,667,2,AI667.2,AI667.2,0,19,0,0,0,0,0,0,0,9536c7fbbab5
AI,669,1,AI669.1,AI669.1,0,10,0,0,0,0,0,0,0,2b62cc6a9c39
AI,670,1,AI670.1,AI670.1,0,29,0,0,1,0,0,0,0,e59cb9b2c741
AI,671,1,AI671.1,AI671.1,0,18,0,0,0,0,1,0,0,8e6de3089bcc
AI,672,1,AI672.1,AI672.1,0,11,0,0,0,0,0,0,0,adfabfe7a799
AI,673,1,AI673.1,AI672.1,0,10,0,0,0,0,0,0,0,a85fd8f7fe81
AI,674,1,AI674.1,AI674.1,0,15,0,0,0,0,0,0,0,2fd6855646bb
AI,675,1,AI675.1,AI675.1,0,10,0,0,0,0,0,0,0,180abc9097d8
AI,676,1,AI676.1,AI676.1,0,9,0,0,0,0,0,0,0,fe2a6a389ee7
AI,677,1,AI677.1,AI677.1,0,12,0,0,0,0,0,0,0,460b3b12bd6b
AI,678,1,AI678.1,AI678.1,0,12,0,0,0,0,0,0,0,c12cbbf8fc99
AI,679,1,AI679.1,AI679.1,0,9,0,0,0,0,0,0,0,d5012afb6d7c
AI,679,2,AI679.2,AI679.2,0,8,0,0,0,0,0,0,0,7e962021ecc2
AI,680,1,AI680.1,AI680.1,0,11,0,0,0,0,0,0,0,d5683dfcc129
AI,681,1,AI681.1,AI681.1,0,14,0,0,0,0,0,0,0,67fb5a3fc1d9
AI,681,2,AI681.2,AI681.2,0,17,0,0,0,0,0,0,0,d2c135b55cd7
AI,682,1,AI682.1,AI682.1,0,7,0,0,0,0,0,0,0,d65f5528d67f
AI,682,2,AI682.2,AI682.2,0,9,0,0,0,0,0,0,0,754f1f8d9aa4
AI,683,1,AI683.1,AI683.1,0,19,0,0,0,0,0,0,0,c1a5df2a7700
AI,684,1,AI684.1,AI684.1,0,7,0,0,0,0,0,0,0,caab880f4595
AI,685,1,AI685.1,AI685.1,0,9,1,0,0,0,0,1,0,fb3e1c4a4f16
AI,686,1,AI686.1,AI686.1,0,17,0,0,0,0,1,0,0,769ab9fe9f9e
AI,687,1,AI687.1,AI687.1,0,10,0,0,0,1,0,0,0,79acd08a0fe5
AI,688,1,AI688.1,AI688.1,0,18,0,0,0,0,0,0,0,4f005e66b22a
AI,689,1,AI689.1,AI689.1,0,9,0,0,0,0,0,0,0,76bfdfd7502d
AI,690,1,AI690.1,AI690.1,0,14,0,0,0,0,0,0,0,67eacf599ef0
AI,691,1,AI691.1,AI691.1,0,19,1,0,0,0,0,1,0,b67433c94013
AI,692,1,AI692.1,AI692.1,0,10,0,0,0,0,1,0,0,f8e8ad068777
AI,693,1,AI693.1,AI693.1,0,15,0,0,0,0,0,0,0,54a3319e7b71
AI,694,1,AI694.1,AI694.1,0,12,0,0,0,0,1,0,0,d4d2e0b4c760
AI,695,1,AI695.1,AI695.1,0,10,0,0,0,0,0,0,0,ac3a1cccfd44
AI,696,1,AI696.1,AI696.1,0,9,0,0,0,0,0,0,0,927e9353537c
AI,696,2,AI696.2,AI696.2,0,7,0,0,0,0,0,0,0,4c72f7d32d31
AI,697,1,AI697.1,AI697.1,0,9,0,0,0,1,0,0,0,f76655bf88b8
AI,698,1,AI698.1,AI698.1,0,10,0,0,0,0,1,0,0,a07e1c7c63f8
AI,699,1,AI699.1,AI699.1,0,5,0,0,0,0,0,0,0,865a689a199c
AI,700,1,AI700.1,AI700.1,0,8,0,0,0,0,0,0,0,12bd5b7fe286
AI,700,2,AI700.2,AI700.2,0,10,0,0,0,0,0,0,0,09c0ef95b9d7
AI,701,1,AI701.1,AI701.1,0,7,0,0,0,0,0,0,0,b02c7a3dfc5d
AI,702,1,AI702.1,AI702.1,0,20,0,0,0,0,0,0,0,00dd97393dea
