jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
1877903.71278,429,6,3,0429-06-03,1,partial umbral,0.4407,1.3996,0.812,6260.0,2.27,Clonmacnoise,8.9,0.44,True
1878080.63546,429,11,27,0429-11-27,3,partial umbral,0.7374,1.858,0.5331,6260.0,3.15,Clonmacnoise,58.5,1.0,True
1878258.40323,430,5,23,0430-05-23,5,total,1.775,2.7586,0.0598,6251.0,3.61,Clonmacnoise,6.7,0.12,True
1878434.76697,430,11,16,0430-11-16,0,total,1.6238,2.6942,0.1127,6251.0,3.73,Clonmacnoise,44.3,1.0,True
1878612.89485,431,5,13,0431-05-13,3,partial umbral,0.5109,1.549,0.6947,6241.0,2.61,,-90.0,0.0,False
1878789.20622,431,11,5,0431-11-05,4,partial umbral,0.4094,1.4222,0.7964,6241.0,2.24,,-90.0,0.0,False
1878937.43935,432,4,1,0432-04-01,5,penumbral,-0.6193,0.482,1.1987,6232.0,0.0,,,0.0,False
1878967.08369,432,5,1,0432-05-01,0,penumbral,-0.9912,0.0948,1.395,6232.0,0.0,,,0.0,False
1879114.43526,432,9,25,0432-09-25,0,penumbral,-0.3224,0.6638,1.2234,6232.0,0.0,,,0.0,False
1879143.84098,432,10,25,0432-10-25,2,penumbral,-0.7397,0.2471,1.4645,6232.0,0.0,,,0.0,False
1879291.47782,433,3,21,0433-03-21,2,partial umbral,0.7648,1.846,0.5367,6222.0,3.15,Clonmacnoise,31.7,1.0,True
1879469.01508,433,9,15,0433-09-15,5,partial umbral,0.8845,1.9105,0.5205,6222.0,3.13,,-90.0,0.0,False
1879645.76569,434,3,11,0434-03-11,0,total,1.5353,2.5644,0.1727,6213.0,3.64,Clonmacnoise,33.1,0.96,True
1879823.33404,434,9,4,0434-09-04,2,total,1.4671,2.5467,0.1864,6213.0,3.78,Armagh,8.1,0.12,True
1880000.3277,435,2,28,0435-02-28,4,partial umbral,0.2701,1.256,0.8918,6204.0,1.84,Iona,8.7,0.24,True
1880177.38492,435,8,24,0435-08-24,6,partial umbral,0.0886,1.1938,0.8509,6204.0,1.22,,-90.0,0.0,False
1880325.58655,436,1,20,0436-01-20,1,penumbral,-0.1395,0.8656,1.1034,6194.0,0.0,,,0.0,False
1880355.0064,436,2,18,0436-02-18,2,penumbral,-0.9507,0.0318,1.5777,6194.0,0.0,,,0.0,False
1880501.87226,436,7,14,0436-07-14,2,penumbral,-0.2407,0.8059,1.0734,6194.0,0.0,,,0.0,False
1880680.06376,437,1,8,0437-01-08,5,total,1.0409,2.1017,0.4192,6184.0,3.36,,-90.0,0.0,False
1880856.32833,437,7,3,0437-07-03,6,total,1.2714,2.2614,0.3302,6184.0,3.44,,-90.0,0.0,False
1881034.23688,437,12,28,0437-12-28,2,total,1.3384,2.4534,0.2387,6184.0,3.76,Iona,12.6,0.28,True
1881211.00316,438,6,23,0438-06-23,4,total,1.1352,2.0953,0.4243,6175.0,3.25,,-90.0,0.0,False
1881388.20105,438,12,17,0438-12-17,6,partial umbral,0.0841,1.2104,0.8499,6175.0,1.18,,-90.0,0.0,False
1881536.38275,439,5,14,0439-05-14,0,penumbral,-0.6736,0.3243,1.3686,6166.0,0.0,,,0.0,False
1881565.71148,439,6,13,0439-06-13,2,penumbral,-0.2409,0.7335,1.1689,6166.0,0.0,,,0.0,False
1881712.64122,439,11,7,0439-11-07,2,penumbral,-0.5479,0.5036,1.2598,6166.0,0.0,,,0.0,False
1881742.26958,439,12,6,0439-12-06,3,penumbral,-1.0514,0.0344,1.4709,6166.0,0.0,,,0.0,False
1881890.79259,440,5,3,0440-05-03,5,partial umbral,0.6032,1.6584,0.6332,6156.0,2.83,Clonmacnoise,7.5,0.12,True
1882067.15489,440,10,26,0440-10-26,6,partial umbral,0.8253,1.825,0.5798,6156.0,2.95,,-90.0,0.0,False
