date_julian_cal,year,weekday,type,kind,magnitude,best_site,diagnostic,why,note
0830-11-04,830,5,lunar,partial umbral,0.054,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 7.2 deg up, 0.4 of umbral phase in a dark sky"
0831-04-30,831,,lunar,partial umbral,0.9647,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0831-10-24,831,2,lunar,total,1.269,Clonmacnoise,blind,,"Moon 49.6 deg up, 1.0 of umbral phase in a dark sky"
0832-04-18,832,4,lunar,total,1.311,Clonmacnoise,blind,,"Moon 14.9 deg up, 0.44 of umbral phase in a dark sky"
0833-09-17,833,3,solar,partial,0.686,Clonmacnoise,blind,,UT 09:56 at Armagh
0835-02-17,835,3,lunar,total,1.494,Clonmacnoise,blind,,"Moon 47.5 deg up, 1.0 of umbral phase in a dark sky"
0835-03-03,835,3,solar,partial,0.531,Bangor,blind,,UT 07:03 at Armagh
0835-08-12,835,4,lunar,total,1.32,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 6.5 deg up, 0.12 of umbral phase in a dark sky"
0836-07-17,836,1,solar,partial,0.557,Iona,blind,,UT 13:53 at Armagh
0836-07-31,836,,lunar,total,1.0291,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0838-06-11,838,,lunar,partial umbral,0.7356,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0838-12-05,838,4,lunar,total,1.23,Clonmacnoise,blind,,"Moon 53.6 deg up, 1.0 of umbral phase in a dark sky"
0839-06-01,839,0,lunar,total,1.564,Clonmacnoise,blind,,"Moon 12.9 deg up, 0.56 of umbral phase in a dark sky"
0839-11-24,839,1,lunar,total,1.24,Iona,blind,,"Moon 18.6 deg up, 0.56 of umbral phase in a dark sky"
0840-05-05,840,3,solar,partial,0.774,Clonmacnoise,blind,,UT 12:26 at Armagh
0842-03-30,842,4,lunar,total,1.259,Clonmacnoise,blind,,"Moon 28.0 deg up, 1.0 of umbral phase in a dark sky"
0843-03-19,843,1,lunar,total,1.181,Armagh,blind,,"Moon 17.4 deg up, 0.48 of umbral phase in a dark sky"
0845-07-22,845,,lunar,partial umbral,0.3241,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0847-07-02,847,6,lunar,partial umbral,0.699,Clonmacnoise,blind,,"Moon 11.9 deg up, 0.76 of umbral phase in a dark sky"
0848-11-14,848,,lunar,partial umbral,0.0406,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0849-05-11,849,6,lunar,partial umbral,0.816,Clonmacnoise,blind,,"Moon 17.7 deg up, 1.0 of umbral phase in a dark sky"
0849-05-25,849,6,solar,deep partial,0.936,Iona,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 20:32 at Armagh
0849-11-04,849,1,lunar,total,1.244,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 14.0 deg up, 0.36 of umbral phase in a dark sky"
0850-04-30,850,3,lunar,total,1.448,Clonmacnoise,blind,,"Moon 19.6 deg up, 0.8 of umbral phase in a dark sky"
0850-10-24,850,5,lunar,total,1.191,Clonmacnoise,blind,,"Moon 40.0 deg up, 1.0 of umbral phase in a dark sky"
0852-03-09,852,3,lunar,partial umbral,0.191,Armagh,blind,,"Moon 12.6 deg up, 0.56 of umbral phase in a dark sky"
0852-03-24,852,4,solar,partial,0.857,Clonmacnoise,blind,,UT 15:16 at Armagh
